url,title,site,cook_time_val,cook_time_unit,prep_time_val,prep_time_unit,total_time_val,total_time_unit,rating
https://www.seriouseats.com/recipes/2014/05/pork-in-spicy-dressing-with-iced-broccoli-stems-from-simple-thai-food.html,Pork in Spicy Dressing With Iced Broccoli Stems (Mu Manao) From 'Simple Thai Food',seriouseats,0.0,min,40.0,min,40.0,min,-1
https://www.seriouseats.com/recipes/2011/02/roasted-mushroom-torta-with-goat-cheese-and-black-beans-recipe.html,Dinner Tonight: Roasted Mushroom Torta with Goat Cheese and Black Beans Recipe,seriouseats,0.0,min,60.0,min,60.0,min,4.75
https://www.seriouseats.com/recipes/2013/09/caramel-apple-flan-with-toasted-pepitas-924.html,Caramel Apple Flan with Toasted Pepitas Recipe,seriouseats,1380.0,min,60.0,min,1440.0,min,-1
https://www.seriouseats.com/recipes/2013/10/cheerio-coated-grilled-cheese-sandwiches-recipe.html,Cheerios® Coated Grilled Cheese Sandwiches Recipe,seriouseats,0.0,min,20.0,min,20.0,min,-1
https://www.seriouseats.com/recipes/2015/11/roasted-squash-kale-make-ahead-spiced-nut-cranberry-maple-recipe.html,"Make-Ahead Roasted Squash and Kale Salad With Spiced Nuts, Cranberries, and Maple Vinaigrette Recipe",seriouseats,60.0,min,45.0,min,105.0,min,4.5
https://www.seriouseats.com/recipes/2016/03/roasted-potato-salad-mushrooms-shallots-kale-recipe.html,Roasted Potato and Shallot Salad With Marinated Mushrooms and Kale Recipe,seriouseats,0.0,min,60.0,min,60.0,min,3
https://www.seriouseats.com/recipes/2015/06/best-grilled-chicken-greek-style-lemon-garlic-olive-oil.html,"Greek-Style Grilled Chicken With Oregano, Garlic, Lemon, and Olive Oil Recipe",seriouseats,30.0,min,45.0,min,75.0,min,4.25
https://www.seriouseats.com/recipes/2014/05/fried-shallots-and-fried-shallot-oil-from-simple-thai-food.html,Fried Shallots and Fried Shallot Oil From 'Simple Thai Food',seriouseats,0.0,min,20.0,min,20.0,min,-1
https://www.seriouseats.com/recipes/2014/05/son-in-law-eggs-khai-luk-khoei-from-simple-thai-food.html,Son-in-Law Eggs (Khai Luk Khoei) From 'Simple Thai Food',seriouseats,0.0,min,60.0,min,60.0,min,-1
https://www.seriouseats.com/recipes/2014/12/mexican-spiced-chocolate-pecans-nuts-recipe.html,Mexican-Spiced Chocolate Pecans Recipe,seriouseats,30.0,min,15.0,min,45.0,min,5
https://www.seriouseats.com/recipes/2013/01/kale-caesar-salad-recipe.html,Kale Caesar Salad Recipe,seriouseats,15.0,min,15.0,min,30.0,min,4.8571428571429
https://www.seriouseats.com/recipes/2016/11/warm-kale-caramelized-mushroom-salad-recipe.html,Warm Kale and Caramelized Mushroom Salad Recipe,seriouseats,0.0,min,25.0,min,25.0,min,4.6666666666667
https://www.seriouseats.com/recipes/2014/02/roasted-chickpea-kale-salad-sun-dried-tomato-vinaigrette-herb.html,Roasted-Chickpea and Kale Salad With Sun-Dried Tomato Vinaigrette Recipe,seriouseats,60.0,min,15.0,min,75.0,min,5
https://www.seriouseats.com/recipes/2015/05/browned-butter-pecan-ice-cream-recipe.html,Browned Butter Pecan Ice Cream Recipe,seriouseats,300.0,min,60.0,min,360.0,min,5
https://www.seriouseats.com/recipes/2017/09/food-lab-cryo-blanched-green-beans-fried-garlic-recipe.html,The Food Lab: Cryo-Blanched Green Beans Recipe,seriouseats,15.0,min,45.0,min,60.0,min,4
https://www.seriouseats.com/recipes/2017/10/ohitashi-japanese-blanched-greens-dashi-recipe.html,Ohitashi (Japanese Blanched Greens With Savory Broth) Recipe,seriouseats,38.0,min,20.0,min,58.0,min,-1
https://www.seriouseats.com/recipes/2013/12/date-rum-cake-with-walnuts-and-coconut.html,Date Rum Cake With Walnuts and Coconut Recipe,seriouseats,60.0,min,40.0,min,100.0,min,-1
https://www.seriouseats.com/recipes/2013/12/old-fashioned-pounded-cheese-with-walnuts-and-port-syrup-from-the-new-midwestern-table-cookbook.html,Old-Fashioned Pounded Cheese With Walnuts and Port Syrup From 'The New Midwestern Table',seriouseats,0.0,min,20.0,min,20.0,min,-1
https://www.seriouseats.com/recipes/2014/12/smoky-candied-almonds-nuts-recipe.html,Smoky Candied Almonds Recipe,seriouseats,30.0,min,15.0,min,45.0,min,-1
https://www.seriouseats.com/recipes/2015/12/warm-butternut-squash-cheddar-dip-recipe.html,Warm Butternut Squash and Cheddar Dip Recipe,seriouseats,30.0,min,60.0,min,90.0,min,5
https://www.seriouseats.com/recipes/2016/05/salmon-rillettes-recipe.html,Salmon Rillettes With Chives and Shallots Recipe,seriouseats,2.0,min,30.0,min,32.0,min,5
